Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
405.0,anicomi,26.396,1.7,0.6,4.32,4.7,3.6,29.0,23.0,2.0,23.9,8.3,35.3,11.4,6.3,1.5,1.5,0.1,3.674,122.6,10
407.0,Bullymel36,25.095,3.0,0.889,3.762,6.444,5.0,26.0,22.0,0.0,19.889,7.889,23.333,3.444,5.667,0.444,1.0,0.111,3.259,110.333,9
410.0,FoopyPoopy,25.263,2.0,0.5,4.219,4.2,4.3,27.0,28.0,0.0,19.8,7.2,23.2,3.4,4.4,0.8,0.6,0.0,3.786,106.6,10
413.0,zokie,39.199,2.5,0.3,4.162,6.6,7.5,27.0,27.0,2.0,25.4,23.1,32.0,6.6,4.8,1.2,1.0,0.5,3.511,123.4,10
416.0,OkitaNobu,37.972,2.0,0.5,4.198,5.8,5.2,30.0,24.0,0.0,27.4,16.0,37.6,10.2,4.5,2.1,2.2,0.2,3.459,114.6,10
417.0,YellowRose,31.46,3.0,0.3,3.933,5.6,5.4,30.0,23.0,1.0,22.1,11.9,29.8,7.7,3.7,1.0,2.0,0.4,3.355,108.0,10
419.0,keysha18,32.161,1.5,0.4,4.627,5.7,4.0,27.0,28.0,1.0,23.5,16.3,28.7,5.2,3.0,1.6,1.4,0.1,3.72,125.1,10
420.0,OSXtrafton,12.179,1.333,0.167,4.068,2.667,1.667,15.0,18.0,0.0,11.833,2.167,36.333,24.5,8.0,2.833,3.0,0.0,3.17,114.167,6
426.0,Raphtelia,15.258,0.7,0.7,4.341,2.1,2.2,26.0,28.0,1.0,10.5,6.3,12.2,1.7,2.5,0.3,0.2,0.0,3.891,109.0,10
428.0,SaoriHayami,31.984,1.0,0.4,4.617,4.3,3.5,20.0,32.0,2.0,27.8,11.7,42.9,15.1,4.5,1.6,2.6,0.2,3.836,124.2,10
429.0,Nunuchu42,10.895,1.4,1.4,3.836,2.9,1.5,25.0,29.0,1.0,11.2,1.1,14.9,3.7,3.4,0.8,0.2,0.1,3.479,111.6,10
430.0,HaruUrara,40.903,3.8,0.5,3.833,8.4,9.6,24.0,33.0,0.0,23.5,24.9,28.9,5.4,7.1,1.5,1.4,0.3,3.06,117.5,10
431.0,Luna,28.352,1.3,0.5,4.474,3.6,4.5,28.0,26.0,0.0,17.0,17.5,24.0,7.0,2.5,1.1,0.8,0.6,3.599,120.9,10
432.0,Deja_,36.781,2.857,0.571,3.681,7.571,10.0,20.0,18.0,0.0,29.0,10.571,33.429,4.429,4.286,1.0,1.0,0.143,3.24,108.143,7
437.0,Loomi,24.394,3.125,0.5,3.815,6.625,4.75,21.0,23.0,1.0,27.0,2.375,34.625,7.625,5.75,1.25,1.5,0.0,3.393,120.125,8
441.0,Dav1d,28.1,2.7,0.6,4.067,5.4,4.9,23.0,33.0,0.0,24.0,6.6,29.1,5.1,6.1,1.4,1.3,0.1,3.487,109.1,10
442.0,Efe,27.083,2.0,0.0,3.731,2.0,10.0,1.0,4.0,0.0,15.0,11.0,17.0,2.0,3.0,0.0,2.0,0.0,3.294,96.0,1
443.0,Loirinzz,17.557,3.0,0.0,4.739,5.0,1.0,4.0,2.0,0.0,18.0,5.0,18.0,0.0,4.0,0.0,0.0,0.0,4.611,131.0,1
445.0,Feynox_,28.106,2.0,2.0,4.305,5.333,5.0,8.0,7.0,1.0,24.667,11.0,33.0,8.333,4.667,1.333,0.667,0.0,3.715,126.333,3
446.0,Hotpot,23.882,1.333,0.444,4.409,4.556,1.889,21.0,29.0,0.0,18.667,7.889,29.778,11.111,3.778,1.444,2.444,0.111,3.516,111.111,9
450.0,Zarelyyyx,23.67,2.0,1.25,4.563,3.75,2.0,6.0,15.0,0.0,18.25,10.0,23.25,5.0,2.0,0.75,1.0,0.0,3.899,119.25,4
451.0,AkatsukiKirika,27.939,0.6,0.4,4.626,2.9,3.6,23.0,31.0,0.0,11.9,20.3,14.3,2.4,0.7,0.6,0.7,0.4,4.135,115.5,10
453.0,RyoutaVN,33.479,4.6,0.2,3.8,7.8,9.1,24.0,35.0,0.0,23.7,16.0,26.0,2.3,6.3,0.7,0.6,0.7,3.055,118.3,10
455.0,l_elf10,20.044,1.333,2.333,4.399,4.333,2.0,9.0,6.0,0.0,12.0,8.0,29.0,17.0,6.333,3.0,2.0,0.333,3.186,99.0,3
459.0,SIXSEVEN,27.306,0.5,0.333,4.701,3.0,2.833,15.0,16.0,1.0,1.833,29.167,1.833,0.0,0.167,0.0,0.0,0.167,3.694,114.667,6
462.0,hakohoka,19.11,1.5,1.6,4.688,4.6,1.7,26.0,30.0,1.0,14.3,8.7,14.5,0.2,3.9,0.0,0.0,0.1,4.052,120.5,10
463.0,Sabetin,37.06,1.8,0.4,4.274,5.2,7.1,26.0,31.0,1.0,33.9,11.2,41.3,7.4,4.7,0.9,2.5,0.3,3.839,121.8,10
464.0,Najeem,20.327,1.6,0.7,4.042,3.2,3.5,24.0,32.0,0.0,20.9,1.6,31.1,10.2,3.0,0.8,1.2,0.0,3.568,110.1,10
466.0,metak,32.799,2.2,0.4,4.223,5.8,5.5,26.0,29.0,0.0,31.1,10.8,37.7,6.6,5.0,1.3,1.1,0.1,3.604,126.6,10
467.0,Caramel36,26.648,2.6,0.5,4.079,6.4,2.7,30.0,28.0,0.0,23.1,7.2,25.6,2.5,3.9,0.8,0.5,0.1,3.716,114.1,10
468.0,MisheruDesu,25.375,2.333,1.0,3.743,4.667,5.0,12.0,5.0,0.0,23.0,6.0,27.333,4.333,3.667,0.667,0.333,0.0,3.4,114.333,3
471.0,Dovixx,20.489,1.833,1.5,4.581,4.167,2.667,16.0,18.0,0.0,21.667,6.667,25.5,3.833,3.5,0.5,1.0,0.0,4.228,136.333,6
472.0,Whales6978,18.595,1.1,0.3,3.977,3.2,2.5,28.0,28.0,0.0,16.3,4.0,26.8,10.5,4.7,2.1,1.9,0.0,3.229,109.0,10
474.0,Nomu,12.221,0.667,0.833,4.232,2.667,1.0,15.0,16.0,2.0,12.333,1.167,30.833,18.5,7.167,4.667,2.5,0.0,2.955,110.0,6
475.0,medley_n8tes,17.606,3.0,3.0,3.8,3.0,5.0,3.0,3.0,0.0,21.0,4.0,33.0,12.0,8.0,2.0,2.0,0.0,3.364,142.0,1
476.0,ThePieGod,17.525,1.25,2.25,4.264,3.75,2.5,15.0,7.0,1.0,16.75,3.25,21.75,5.0,2.25,0.0,0.25,0.0,3.767,115.25,4
477.0,FurLain,29.742,2.8,0.4,3.736,6.1,4.5,29.0,25.0,0.0,16.8,14.2,19.0,2.2,4.5,0.8,0.6,0.1,2.998,104.4,10
478.0,WatchPotat,3.158,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0,3.333,95.0,1
479.0,NMapper,39.484,5.7,0.1,3.716,10.6,7.5,23.0,32.0,1.0,28.1,15.4,36.6,8.5,8.1,3.1,1.8,0.7,2.904,110.8,10
480.0,Tugia,42.23,4.1,0.3,3.828,8.3,9.2,25.0,29.0,0.0,24.7,23.5,25.3,0.6,5.2,0.4,0.0,0.6,3.236,112.6,10
483.0,JaneRemover,18.714,1.0,0.75,4.634,3.5,2.75,12.0,9.0,1.0,17.0,5.0,26.5,9.5,1.75,1.25,1.0,0.25,3.99,118.75,4
484.0,pekorrat,22.13,1.4,0.8,4.129,3.6,2.4,14.0,15.0,0.0,19.4,6.8,32.4,13.0,5.0,1.2,2.0,0.0,3.31,117.0,5
489.0,zomg,24.866,4.4,1.1,3.813,7.1,5.3,27.0,31.0,0.0,21.5,9.8,26.6,5.1,8.5,1.6,0.9,0.2,3.014,124.7,10
491.0,swaft,5.185,0.0,1.0,4.0,1.0,0.0,3.0,3.0,0.0,6.0,1.0,28.0,22.0,0.0,5.0,2.0,0.0,2.536,135.0,1
493.0,chiabobo,14.126,0.3,1.3,4.477,1.8,1.5,25.0,31.0,0.0,14.1,2.5,29.1,15.0,2.4,1.2,2.7,0.0,3.626,116.5,10
494.0,potatoedtoast,27.254,1.444,0.667,4.316,4.667,3.778,25.0,22.0,1.0,19.0,11.333,22.222,3.222,2.778,0.667,0.444,0.0,3.763,111.111,9
495.0,AppuruPai,28.055,2.7,1.1,4.107,5.8,4.2,29.0,26.0,0.0,24.9,9.5,34.5,9.6,6.8,2.8,2.4,0.2,3.269,121.2,10
496.0,lotte_616,12.653,2.0,1.0,3.333,3.9,2.3,24.0,31.0,0.0,11.8,1.6,19.0,7.2,3.8,1.2,0.5,0.2,2.97,107.0,10
497.0,afwcal,9.798,0.25,2.75,5.063,1.75,0.75,10.0,11.0,0.0,6.75,4.25,32.0,25.25,3.75,1.5,2.5,0.0,3.54,111.5,4
498.0,kotkowski,4.396,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,2.0,2.0,36.0,34.0,1.0,0.0,8.0,0.0,3.167,91.0,1
501.0,pxmacaiah,10.065,0.429,0.857,3.61,2.0,1.143,15.0,23.0,0.0,9.143,0.571,18.143,9.0,3.0,1.429,1.857,0.0,2.917,95.571,7
502.0,Bewm,15.179,2.0,0.4,3.417,4.4,2.4,15.0,13.0,0.0,15.4,0.4,20.4,5.0,4.4,1.2,0.8,0.0,3.058,102.0,5
503.0,micmic112,6.481,1.0,1.0,4.286,1.0,0.0,1.0,4.0,0.0,5.0,2.0,27.0,22.0,7.0,5.0,2.0,0.0,2.222,108.0,1
505.0,MaikaSasaki,47.862,2.6,0.2,4.085,7.2,10.2,22.0,33.0,0.0,33.5,24.0,39.4,5.9,3.5,0.4,1.3,0.6,3.822,120.6,10
507.0,yosiiz,8.809,1.5,2.0,3.972,1.5,0.5,1.0,9.0,0.0,7.0,1.5,16.0,9.0,2.0,0.5,2.0,0.0,3.642,98.5,2
508.0,McAlbertHabolea,8.625,2.0,1.2,3.761,2.8,1.0,15.0,13.0,0.0,8.0,1.6,19.8,11.8,6.0,2.0,1.4,0.0,3.117,113.0,5
510.0,AkechiAnna,39.394,4.0,0.0,4.154,7.0,5.0,3.0,2.0,0.0,20.0,19.0,22.0,2.0,4.0,0.0,0.0,0.0,3.455,99.0,1
512.0,angelair,5.698,0.667,1.667,3.825,1.667,1.333,4.0,14.0,0.0,5.0,1.0,11.333,6.333,2.333,1.333,0.333,0.0,3.339,108.667,3
